RevenueGrowth,ProfitMargin,MarketSentiment,DebtLevel,StockPriceIncrease
high,high,Positive,low,yes
low,low,Negative,high,no
high,low,Positive,low,yes
low,high,Negative,high,no
high,high,Negative,low,yes
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
high,high,Positive,high,yes
low,low,Negative,low,no
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Negative,low,yes
low,high,Positive,high,no
high,low,Negative,high,no
low,low,Positive,low,no
high,high,Positive,high,yes
low,high,Negative,low,no
high,low,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
low,high,Negative,high,no
low,low,Positive,high,no
high,low,Negative,high,no
low,high,Positive,low,yes
low,low,Negative,high,no
high,high,Positive,low,yes
